f 1 10 11
f 1 11 2
f 2 11 3
f 3 11 12
f 10 19 11
f 11 19 20
f 11 20 21
f 11 21 12
f 3 12 13
f 3 13 4
f 4 13 5
f 5 13 14
f 12 21 13
f 13 21 22
f 13 22 23
f 13 23 14
f 5 14 15
f 5 15 6
f 6 15 7
f 7 15 16
f 14 23 15
f 15 23 24
f 15 24 25
f 15 25 16
f 7 16 17
f 7 17 8
f 8 17 9
f 9 17 18
f 16 25 17
f 17 25 26
f 17 26 27
f 17 27 18
f 19 28 29
f 19 29 20
f 20 29 21
f 21 29 30
f 28 37 29
f 29 37 38
f 29 38 39
f 29 39 30
f 21 30 31
f 21 31 22
f 22 31 23
f 23 31 32
f 30 39 31
f 31 39 40
f 31 40 41
f 31 41 32
f 23 32 33
f 23 33 24
f 24 33 25
f 25 33 34
f 32 41 33
f 33 41 42
f 33 42 43
f 33 43 34
f 25 34 35
f 25 35 26
f 26 35 27
f 27 35 36
f 34 43 35
f 35 43 44
f 35 44 45
f 35 45 36
f 37 46 47
f 37 47 38
f 38 47 39
f 39 47 48
f 46 55 47
f 47 55 56
f 47 56 57
f 47 57 48
f 39 48 49
f 39 49 40
f 40 49 41
f 41 49 50
f 48 57 49
f 49 57 58
f 49 58 59
f 49 59 50
f 41 50 51
f 41 51 42
f 42 51 43
f 43 51 52
f 50 59 51
f 51 59 60
f 51 60 61
f 51 61 52
f 43 52 53
f 43 53 44
f 44 53 45
f 45 53 54
f 52 61 53
f 53 61 62
f 53 62 63
f 53 63 54
f 55 64 65
f 55 65 56
f 56 65 57
f 57 65 66
f 64 73 65
f 65 73 74
f 65 74 75
f 65 75 66
f 57 66 67
f 57 67 58
f 58 67 59
f 59 67 68
f 66 75 67
f 67 75 76
f 67 76 77
f 67 77 68
f 59 68 69
f 59 69 60
f 60 69 61
f 61 69 70
f 68 77 69
f 69 77 78
f 69 78 79
f 69 79 70
f 61 70 71
f 61 71 62
f 62 71 63
f 63 71 72
f 70 79 71
f 71 79 80
f 71 80 81
f 71 81 72
